PLAYER_NAME,TEAM_ABBREVIATION,POSITION,HEIGHT_INCHES,WEIGHT_LBS,PTS,REB,AST,STL,BLK,FG_PCT,FG3_PCT,FT_PCT
Garrett Temple,TOR,SG,77,195,1.9,1.0,1.1,0.6,0.1,0.3,0.214,0.917
Jericho Sims,2TM,C,82,250,1.8,3.7,0.6,0.2,0.4,0.634,0.0,0.615
Vlatko Čančar,DEN,PF,80,236,1.8,2.5,0.7,0.2,0.2,0.385,0.267,0.0
Adam Flagler,OKC,SG,75,180,1.8,0.7,0.3,0.2,0.1,0.26,0.194,0.5
Trentyn Flowers,LAC,SF,81,185,1.8,0.7,0.0,0.0,0.0,0.364,0.0,1.0
E.J. Liddell,CHI,PF,78,240,1.8,0.8,0.3,0.1,0.1,0.533,0.3,1.0
Jahmir Young,CHI,PG,72,185,1.8,0.5,1.0,0.0,0.0,0.8,0.5,1.0
Pacome Dadiet,NYK,SG,81,210,1.7,1.0,0.3,0.2,0.1,0.323,0.316,0.667
Alex Ducas,OKC,SG,79,220,1.7,1.2,0.2,0.2,0.0,0.4,0.476,1.0
PJ Hall,DEN,C,80,245,1.7,1.2,0.2,0.0,0.2,0.583,0.25,0.75
Emanuel Miller,CHI,PF,77,215,1.7,1.3,0.3,0.2,0.0,0.5,0.0,1.0
Tristan Thompson,CLE,C,81,254,1.7,3.4,0.6,0.1,0.3,0.437,0.0,0.233
Alex Len,2TM,C,84,250,1.6,2.1,0.8,0.2,0.5,0.508,0.222,0.471
Yuki Kawamura,MEM,PG,67,159,1.6,0.5,0.9,0.1,0.0,0.367,0.304,0.778
Jack McVeigh,HOU,PF,80,215,1.6,0.6,0.1,0.0,0.2,0.294,0.308,0.0
Armel Traoré,LAL,SF,81,245,1.6,1.7,0.1,0.4,0.2,0.316,0.0,0.286
Jordan Walsh,BOS,PF,78,205,1.6,1.3,0.4,0.2,0.2,0.361,0.273,0.583
Phillip Wheeler,PHI,PF,80,185,1.6,1.6,0.4,0.2,0.4,0.143,0.0,1.0
Sidy Cissoko,2TM,SF,78,220,1.5,1.0,0.7,0.1,0.0,0.433,0.231,0.333
Jazian Gortman,DAL,PG,74,184,1.5,0.3,0.4,0.1,0.1,0.391,0.364,0.5
Kevin McCullar Jr.,NYK,SF,78,210,1.5,2.0,0.5,0.3,0.3,0.286,0.0,1.0
Leonard Miller,MIN,SF,82,220,1.5,0.8,0.0,0.2,0.1,0.4,0.0,1.0
Quincy Olivari,LAL,PG,75,200,1.5,0.0,0.5,0.0,0.0,0.2,0.2,0.0
Matt Ryan,NYK,SF,78,215,1.5,0.4,0.2,0.1,0.0,0.323,0.316,1.0
Jacob Toppin,2TM,SF,81,200,1.4,0.9,0.4,0.1,0.0,0.409,0.5,0.0
Cam Christie,LAC,SG,77,190,1.4,0.9,0.5,0.4,0.1,0.292,0.154,0.5
Chris Livingston,MIL,SF,78,220,1.4,1.7,0.2,0.2,0.0,0.333,0.0,0.75
Trey Alexander,DEN,SG,77,185,1.3,0.5,0.5,0.1,0.0,0.317,0.176,0.75
Spencer Jones,DEN,SF,79,225,1.3,0.9,0.3,0.3,0.3,0.324,0.059,1.0
Skal Labissière,SAC,PF,82,235,1.3,0.8,0.3,0.0,0.0,0.5,1.0,0.0
Jalen Bridges,PHO,SF,80,225,1.1,0.5,0.0,0.0,0.0,0.286,0.286,0.75
Yuri Collins,GSW,PG,72,190,1.0,1.5,2.0,1.0,0.0,0.333,0.0,0.0
Daniss Jenkins,DET,PG,76,165,1.0,0.3,0.4,0.0,0.0,0.3,0.143,0.0
Braxton Key,GSW,SF,80,225,1.0,0.7,0.0,0.7,0.0,0.0,0.0,0.5
Bryce McGowens,POR,SG,78,190,1.0,0.2,0.2,0.1,0.0,0.286,0.0,0.833
Xavier Tillman Sr.,BOS,C,78,215,1.0,1.3,0.2,0.3,0.2,0.245,0.156,0.75
Luke Travers,CLE,SG,78,207,1.0,1.7,0.7,0.1,0.1,0.25,0.0,1.0
Isaiah Crawford,SAC,SF,78,220,0.9,0.5,0.1,0.1,0.1,0.455,0.2,0.5
Justin Minaya,POR,SF,77,205,0.9,0.5,0.4,0.3,0.1,0.381,0.2,0.0
Anton Watson,NYK,SF,80,225,0.9,0.3,0.2,0.1,0.0,0.444,0.0,0.0
D.J. Carton,TOR,SG,75,200,0.8,1.0,0.8,0.5,0.0,0.143,0.0,1.0
PJ Dozier,MIN,SG,78,205,0.8,0.6,0.6,0.1,0.0,0.667,0.667,0.167
Joe Ingles,MIN,SF,80,220,0.8,0.6,1.2,0.1,0.0,0.261,0.2,0.0
Harrison Ingram,SAS,SF,77,230,0.8,1.8,0.6,0.6,0.0,0.5,0.0,0.0
Ulrich Chomche,TOR,PF,83,235,0.7,1.1,0.3,0.0,0.1,0.4,0.0,0.5
James Johnson,IND,PF,79,240,0.7,0.5,0.3,0.0,0.2,0.364,0.0,0.0
Liam Robbins,MIL,C,84,250,0.7,0.9,0.2,0.2,0.2,0.25,0.0,0.5
Stanley Umude,MIL,SG,78,210,0.7,0.8,0.2,0.1,0.3,0.192,0.2,0.5
Cui Yongxi,BRK,SG,78,215,0.6,0.4,0.0,0.0,0.0,0.143,0.0,0.5
Tristen Newton,2TM,SG,77,190,0.4,0.5,0.3,0.1,0.0,0.125,0.0,1.0
Malevy Leons,OKC,SF,81,210,0.3,0.5,0.2,0.0,0.0,0.0,0.0,0.5
Daishen Nix,MIN,PG,76,238,0.3,1.3,1.0,0.0,0.0,0.0,0.0,0.5
Terence Davis,SAC,SG,76,201,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Jesse Edwards,MIN,C,84,236,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Mac McClung,ORL,SG,74,185,0.0,0.5,1.5,0.0,0.0,0.0,0.0,0.0
Jalen McDaniels,WAS,SF,81,190,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0
Riley Minix,SAS,SF,79,230,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jahlil Okafor,IND,C,82,270,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Zyon Pullin,MEM,SG,76,206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Stevens,MIA,PG,71,185,0.0,0.7,0.0,0.3,0.0,0.0,0.0,0.0
Terry Taylor,SAC,PF,76,230,0.0,0.3,0.7,0.0,0.0,0.0,0.0,0.0
